case:concept:name,Activities_Repeated,Total_Extra_Steps
declaration 75193,Permit FINAL_APPROVED by SUPERVISOR | Permit SUBMITTED by EMPLOYEE,2
declaration 75158,Declaration APPROVED by PRE_APPROVER | Declaration SUBMITTED by EMPLOYEE,2
declaration 75005,Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,2
declaration 74994,Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,2
declaration 2664,Declaration REJECTED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 26469,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 2643,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 74681,Declaration APPROVED by PRE_APPROVER | Declaration SUBMITTED by EMPLOYEE,2
declaration 74660,Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,2
declaration 74583,Declaration APPROVED by PRE_APPROVER | Declaration SUBMITTED by EMPLOYEE,2
declaration 74377,Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,2
declaration 77161,Declaration SUBMITTED by EMPLOYEE | Permit SUBMITTED by EMPLOYEE,2
declaration 77060,Permit FINAL_APPROVED by SUPERVISOR | Permit SUBMITTED by EMPLOYEE,2
declaration 76886,Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,2
declaration 76637,Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,2
declaration 24588,Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,2
declaration 76534,Declaration APPROVED by PRE_APPROVER | Declaration SUBMITTED by EMPLOYEE,2
declaration 75874,Declaration APPROVED by PRE_APPROVER | Declaration SUBMITTED by EMPLOYEE,2
declaration 75701,Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,2
declaration 75558,Permit APPROVED by PRE_APPROVER | Permit SUBMITTED by EMPLOYEE,2
declaration 75519,Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,2
declaration 73784,Declaration SUBMITTED by EMPLOYEE | Permit SUBMITTED by EMPLOYEE,2
declaration 73473,Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,2
declaration 20195,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 26913,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 7925,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 23773,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 23554,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 23456,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 78851,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 78656,Declaration SUBMITTED by EMPLOYEE | Permit SUBMITTED by EMPLOYEE,2
declaration 78145,Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,2
declaration 78022,Declaration APPROVED by PRE_APPROVER | Declaration SUBMITTED by EMPLOYEE,2
declaration 77684,Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,2
declaration 77637,Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,2
declaration 77607,Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,2
declaration 77500,Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,2
declaration 28310,Declaration SUBMITTED by EMPLOYEE | Permit SUBMITTED by EMPLOYEE,2
declaration 27474,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 27285,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 72672,Declaration APPROVED by PRE_APPROVER | Declaration SUBMITTED by EMPLOYEE,2
declaration 72381,Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,2
declaration 72341,Declaration SUBMITTED by EMPLOYEE | Permit SUBMITTED by EMPLOYEE,2
declaration 12913,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 70709,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 70660,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 70013,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 28886,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 69701,Declaration SUBMITTED by EMPLOYEE | Permit SUBMITTED by EMPLOYEE,2
declaration 69105,Declaration SUBMITTED by EMPLOYEE | Permit SUBMITTED by EMPLOYEE,2
declaration 68940,Declaration SUBMITTED by EMPLOYEE,2
declaration 13800,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 13688,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 13544,Declaration SUBMITTED by EMPLOYEE | Permit SUBMITTED by EMPLOYEE,2
declaration 1348,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 68354,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 67992,Declaration REJECTED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 67596,Declaration SUBMITTED by EMPLOYEE | Permit SUBMITTED by EMPLOYEE,2
declaration 29874,Declaration SUBMITTED by EMPLOYEE | Permit SUBMITTED by EMPLOYEE,2
declaration 29830,Declaration SUBMITTED by EMPLOYEE | Permit SUBMITTED by EMPLOYEE,2
declaration 29730,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 29093,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 66984,Declaration SUBMITTED by EMPLOYEE | Permit SUBMITTED by EMPLOYEE,2
declaration 65655,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 143558,Declaration APPROVED by PRE_APPROVER | Declaration SUBMITTED by EMPLOYEE,2
declaration 143546,Declaration APPROVED by PRE_APPROVER | Declaration SUBMITTED by EMPLOYEE,2
declaration 65232,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 64815,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 64391,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 64105,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 64099,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 63633,Declaration SUBMITTED by EMPLOYEE | Permit SUBMITTED by EMPLOYEE,2
declaration 23434,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 1170,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 81541,Permit FINAL_APPROVED by SUPERVISOR | Permit SUBMITTED by EMPLOYEE,2
declaration 81201,Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,2
declaration 8079,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 80594,Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,2
declaration 80510,Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,2
declaration 80496,Declaration APPROVED by PRE_APPROVER | Declaration SUBMITTED by EMPLOYEE,2
declaration 80369,Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,2
declaration 80236,Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,2
declaration 79882,Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,2
declaration 79849,Declaration SUBMITTED by EMPLOYEE | Send Reminder,2
declaration 79761,Permit FINAL_APPROVED by SUPERVISOR | Permit SUBMITTED by EMPLOYEE,2
declaration 30037,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 29948,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 62845,Declaration SUBMITTED by EMPLOYEE | Send Reminder,2
declaration 62219,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 145282,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 144996,Declaration APPROVED by PRE_APPROVER | Declaration SUBMITTED by EMPLOYEE,2
declaration 144946,Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,2
declaration 14483,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 61551,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 61434,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 61260,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 61184,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 60751,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 30803,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 60567,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 60554,Declaration SUBMITTED by EMPLOYEE | Send Reminder,2
declaration 60041,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 600,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 59885,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 59445,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 59020,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 58408,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 58319,Declaration SUBMITTED by EMPLOYEE | Permit SUBMITTED by EMPLOYEE,2
declaration 58063,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 57893,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 145950,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 145777,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 56951,Declaration SUBMITTED by EMPLOYEE,2
declaration 55780,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 54599,Declaration SUBMITTED by EMPLOYEE,2
declaration 545,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 54257,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 53030,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 52320,Declaration SUBMITTED by EMPLOYEE | Permit SUBMITTED by EMPLOYEE,2
declaration 52077,Declaration SUBMITTED by EMPLOYEE,2
declaration 51804,Declaration SUBMITTED by EMPLOYEE | Permit SUBMITTED by EMPLOYEE,2
declaration 50910,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 50578,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 82795,Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,2
declaration 20860,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 20797,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 20489,Declaration SUBMITTED by EMPLOYEE | Permit SUBMITTED by EMPLOYEE,2
declaration 82404,Permit FINAL_APPROVED by SUPERVISOR | Permit SUBMITTED by EMPLOYEE,2
declaration 82285,Permit APPROVED by PRE_APPROVER | Permit SUBMITTED by EMPLOYEE,2
declaration 81945,Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,2
declaration 81788,Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,2
declaration 12515,Permit SUBMITTED by EMPLOYEE,2
declaration 12513,Permit SUBMITTED by EMPLOYEE,2
declaration 11798,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 50528,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 32711,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 3267,Declaration SUBMITTED by EMPLOYEE,2
declaration 32556,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 48656,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 47622,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 47468,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 47171,Declaration SUBMITTED by EMPLOYEE | Send Reminder,2
declaration 46733,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 46731,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 32955,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 45680,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 45576,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 45113,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 43958,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 42299,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 41729,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 15938,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 84109,Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,2
declaration 84098,Permit FINAL_APPROVED by SUPERVISOR | Permit SUBMITTED by EMPLOYEE,2
declaration 22318,Declaration REJECTED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 22235,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 2170,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 83846,Permit FINAL_APPROVED by SUPERVISOR | Permit SUBMITTED by EMPLOYEE,2
declaration 83727,Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,2
declaration 83337,Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,2
declaration 831,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 8302,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 82952,Declaration APPROVED by PRE_APPROVER | Declaration SUBMITTED by EMPLOYEE,2
declaration 34294,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 34017,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 33991,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 33546,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 41174,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 40790,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 40430,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 16616,Declaration SUBMITTED by EMPLOYEE | Permit SUBMITTED by EMPLOYEE,2
declaration 39715,Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,2
declaration 39601,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 39397,Declaration SUBMITTED by EMPLOYEE | Permit SUBMITTED by EMPLOYEE,2
declaration 39329,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 37898,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 37524,Declaration SUBMITTED by EMPLOYEE | Permit SUBMITTED by EMPLOYEE,2
declaration 9314,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 9237,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 10939,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 86102,Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,2
declaration 11149,Declaration SUBMITTED by EMPLOYEE | Permit SUBMITTED by EMPLOYEE,2
declaration 10279,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,2
declaration 10168,Declaration SUBMITTED by EMPLOYEE,1
declaration 10240,Declaration SUBMITTED by EMPLOYEE,1
declaration 10265,Declaration SUBMITTED by EMPLOYEE,1
declaration 10324,Declaration SUBMITTED by EMPLOYEE,1
declaration 10495,Declaration SUBMITTED by EMPLOYEE,1
declaration 10603,Declaration SUBMITTED by EMPLOYEE,1
declaration 10718,Declaration SUBMITTED by EMPLOYEE,1
declaration 10721,Declaration SUBMITTED by EMPLOYEE,1
declaration 10886,Declaration SUBMITTED by EMPLOYEE,1
declaration 9106,Declaration SUBMITTED by EMPLOYEE,1
declaration 9173,Declaration SUBMITTED by EMPLOYEE,1
declaration 2139,Declaration SUBMITTED by EMPLOYEE,1
declaration 21346,Declaration SUBMITTED by EMPLOYEE,1
declaration 21331,Declaration SUBMITTED by EMPLOYEE,1
declaration 21316,Declaration SUBMITTED by EMPLOYEE,1
declaration 21271,Declaration SUBMITTED by EMPLOYEE,1
declaration 21161,Declaration SUBMITTED by EMPLOYEE,1
declaration 21063,Declaration SUBMITTED by EMPLOYEE,1
declaration 21040,Declaration SUBMITTED by EMPLOYEE,1
declaration 9630,Declaration SUBMITTED by EMPLOYEE,1
declaration 9592,Declaration SUBMITTED by EMPLOYEE,1
declaration 9529,Declaration SUBMITTED by EMPLOYEE,1
declaration 9503,Declaration SUBMITTED by EMPLOYEE,1
declaration 9450,Declaration SUBMITTED by EMPLOYEE,1
declaration 9384,Declaration SUBMITTED by EMPLOYEE,1
declaration 85848,Permit SUBMITTED by EMPLOYEE,1
declaration 8573,Declaration SUBMITTED by EMPLOYEE,1
declaration 36110,Declaration SUBMITTED by EMPLOYEE,1
declaration 35830,Permit SUBMITTED by EMPLOYEE,1
declaration 35803,Declaration SUBMITTED by EMPLOYEE,1
declaration 35787,Declaration SUBMITTED by EMPLOYEE,1
declaration 35771,Declaration SUBMITTED by EMPLOYEE,1
declaration 35753,Declaration SUBMITTED by EMPLOYEE,1
declaration 35713,Declaration SUBMITTED by EMPLOYEE,1
declaration 35688,Declaration SUBMITTED by EMPLOYEE,1
declaration 17891,Declaration SUBMITTED by EMPLOYEE,1
declaration 17841,Declaration SUBMITTED by EMPLOYEE,1
declaration 17771,Declaration SUBMITTED by EMPLOYEE,1
declaration 17664,Declaration SUBMITTED by EMPLOYEE,1
declaration 17551,Declaration SUBMITTED by EMPLOYEE,1
declaration 17534,Declaration SUBMITTED by EMPLOYEE,1
declaration 17519,Declaration SUBMITTED by EMPLOYEE,1
declaration 17286,Permit SUBMITTED by EMPLOYEE,1
declaration 36915,Permit SUBMITTED by EMPLOYEE,1
declaration 36869,Declaration SUBMITTED by EMPLOYEE,1
declaration 36750,Permit SUBMITTED by EMPLOYEE,1
declaration 36735,Declaration SUBMITTED by EMPLOYEE,1
declaration 36704,Declaration SUBMITTED by EMPLOYEE,1
declaration 36640,Declaration SUBMITTED by EMPLOYEE,1
declaration 36604,Declaration SUBMITTED by EMPLOYEE,1
declaration 36522,Declaration SUBMITTED by EMPLOYEE,1
declaration 36464,Declaration SUBMITTED by EMPLOYEE,1
declaration 36451,Declaration SUBMITTED by EMPLOYEE,1
declaration 36425,Declaration SUBMITTED by EMPLOYEE,1
declaration 36325,Declaration SUBMITTED by EMPLOYEE,1
declaration 36302,Declaration SUBMITTED by EMPLOYEE,1
declaration 36257,Declaration SUBMITTED by EMPLOYEE,1
declaration 36242,Declaration SUBMITTED by EMPLOYEE,1
declaration 36216,Declaration SUBMITTED by EMPLOYEE,1
declaration 35121,Declaration SUBMITTED by EMPLOYEE,1
declaration 35009,Declaration SUBMITTED by EMPLOYEE,1
declaration 34995,Declaration SUBMITTED by EMPLOYEE,1
declaration 34782,Declaration SUBMITTED by EMPLOYEE,1
declaration 34752,Declaration SUBMITTED by EMPLOYEE,1
declaration 34671,Declaration SUBMITTED by EMPLOYEE,1
declaration 34643,Declaration SUBMITTED by EMPLOYEE,1
declaration 34625,Declaration SUBMITTED by EMPLOYEE,1
declaration 34587,Declaration SUBMITTED by EMPLOYEE,1
declaration 34430,Declaration SUBMITTED by EMPLOYEE,1
declaration 34397,Declaration SUBMITTED by EMPLOYEE,1
declaration 34384,Declaration SUBMITTED by EMPLOYEE,1
declaration 37212,Declaration SUBMITTED by EMPLOYEE,1
declaration 37199,Declaration SUBMITTED by EMPLOYEE,1
declaration 37082,Declaration SUBMITTED by EMPLOYEE,1
declaration 36952,Declaration SUBMITTED by EMPLOYEE,1
declaration 38142,Declaration SUBMITTED by EMPLOYEE,1
declaration 3809,Declaration SUBMITTED by EMPLOYEE,1
declaration 38050,Declaration SUBMITTED by EMPLOYEE,1
declaration 37913,Declaration SUBMITTED by EMPLOYEE,1
declaration 37818,Declaration SUBMITTED by EMPLOYEE,1
declaration 37663,Declaration SUBMITTED by EMPLOYEE,1
declaration 3762,Declaration SUBMITTED by EMPLOYEE,1
declaration 37540,Declaration SUBMITTED by EMPLOYEE,1
declaration 37458,Declaration SUBMITTED by EMPLOYEE,1
declaration 37410,Declaration SUBMITTED by EMPLOYEE,1
declaration 37393,Declaration SUBMITTED by EMPLOYEE,1
declaration 37343,Declaration SUBMITTED by EMPLOYEE,1
declaration 3730,Declaration SUBMITTED by EMPLOYEE,1
declaration 37271,Declaration SUBMITTED by EMPLOYEE,1
declaration 3526,Declaration SUBMITTED by EMPLOYEE,1
declaration 35148,Declaration SUBMITTED by EMPLOYEE,1
declaration 39258,Declaration SUBMITTED by EMPLOYEE,1
declaration 39230,Declaration SUBMITTED by EMPLOYEE,1
declaration 39065,Declaration SUBMITTED by EMPLOYEE,1
declaration 38899,Declaration SUBMITTED by EMPLOYEE,1
declaration 38855,Declaration SUBMITTED by EMPLOYEE,1
declaration 38764,Declaration SUBMITTED by EMPLOYEE,1
declaration 38740,Declaration SUBMITTED by EMPLOYEE,1
declaration 38670,Declaration SUBMITTED by EMPLOYEE,1
declaration 38657,Declaration SUBMITTED by EMPLOYEE,1
declaration 38602,Declaration SUBMITTED by EMPLOYEE,1
declaration 38565,Permit SUBMITTED by EMPLOYEE,1
declaration 38531,Declaration SUBMITTED by EMPLOYEE,1
declaration 38480,Declaration SUBMITTED by EMPLOYEE,1
declaration 38451,Declaration SUBMITTED by EMPLOYEE,1
declaration 38351,Declaration SUBMITTED by EMPLOYEE,1
declaration 38246,Declaration SUBMITTED by EMPLOYEE,1
declaration 16408,Declaration SUBMITTED by EMPLOYEE,1
declaration 16262,Declaration SUBMITTED by EMPLOYEE,1
declaration 16041,Declaration SUBMITTED by EMPLOYEE,1
declaration 1597,Declaration SUBMITTED by EMPLOYEE,1
declaration 39789,Declaration SUBMITTED by EMPLOYEE,1
declaration 39756,Declaration SUBMITTED by EMPLOYEE,1
declaration 3972,Declaration SUBMITTED by EMPLOYEE,1
declaration 39700,Declaration SUBMITTED by EMPLOYEE,1
declaration 39653,Declaration SUBMITTED by EMPLOYEE,1
declaration 39512,Declaration SUBMITTED by EMPLOYEE,1
declaration 39450,Declaration SUBMITTED by EMPLOYEE,1
declaration 39433,Declaration SUBMITTED by EMPLOYEE,1
declaration 39417,Declaration SUBMITTED by EMPLOYEE,1
declaration 3940,Declaration SUBMITTED by EMPLOYEE,1
declaration 39355,Declaration SUBMITTED by EMPLOYEE,1
declaration 39308,Declaration SUBMITTED by EMPLOYEE,1
declaration 40517,Permit SUBMITTED by EMPLOYEE,1
declaration 40474,Declaration SUBMITTED by EMPLOYEE,1
declaration 40461,Declaration SUBMITTED by EMPLOYEE,1
declaration 40446,Declaration SUBMITTED by EMPLOYEE,1
declaration 40398,Declaration SUBMITTED by EMPLOYEE,1
declaration 40229,Declaration SUBMITTED by EMPLOYEE,1
declaration 40188,Declaration SUBMITTED by EMPLOYEE,1
declaration 40106,Declaration SUBMITTED by EMPLOYEE,1
declaration 39976,Declaration SUBMITTED by EMPLOYEE,1
declaration 1694,Declaration SUBMITTED by EMPLOYEE,1
declaration 16929,Declaration SUBMITTED by EMPLOYEE,1
declaration 16825,Declaration SUBMITTED by EMPLOYEE,1
declaration 16707,Declaration SUBMITTED by EMPLOYEE,1
declaration 1656,Declaration SUBMITTED by EMPLOYEE,1
declaration 16537,Permit SUBMITTED by EMPLOYEE,1
declaration 16462,Declaration SUBMITTED by EMPLOYEE,1
declaration 15466,Declaration SUBMITTED by EMPLOYEE,1
declaration 1544,Send Reminder,1
declaration 15436,Permit SUBMITTED by EMPLOYEE,1
declaration 15321,Declaration SUBMITTED by EMPLOYEE,1
declaration 15250,Declaration SUBMITTED by EMPLOYEE,1
declaration 41341,Declaration SUBMITTED by EMPLOYEE,1
declaration 41266,Declaration SUBMITTED by EMPLOYEE,1
declaration 41130,Declaration SUBMITTED by EMPLOYEE,1
declaration 41083,Declaration SUBMITTED by EMPLOYEE,1
declaration 41052,Declaration SUBMITTED by EMPLOYEE,1
declaration 41017,Declaration SUBMITTED by EMPLOYEE,1
declaration 40928,Declaration SUBMITTED by EMPLOYEE,1
declaration 40834,Declaration SUBMITTED by EMPLOYEE,1
declaration 4073,Declaration SUBMITTED by EMPLOYEE,1
declaration 40713,Declaration SUBMITTED by EMPLOYEE,1
declaration 40541,Declaration SUBMITTED by EMPLOYEE,1
declaration 34367,Declaration SUBMITTED by EMPLOYEE,1
declaration 34343,Declaration SUBMITTED by EMPLOYEE,1
declaration 34266,Declaration SUBMITTED by EMPLOYEE,1
declaration 34051,Declaration SUBMITTED by EMPLOYEE,1
declaration 34031,Declaration SUBMITTED by EMPLOYEE,1
declaration 33963,Declaration SUBMITTED by EMPLOYEE,1
declaration 33892,Declaration SUBMITTED by EMPLOYEE,1
declaration 33852,Declaration SUBMITTED by EMPLOYEE,1
declaration 33782,Declaration SUBMITTED by EMPLOYEE,1
declaration 33674,Declaration SUBMITTED by EMPLOYEE,1
declaration 33577,Declaration SUBMITTED by EMPLOYEE,1
